date,regime,rolling_average,cpi_q_yoy,country
1956-01-01,0,4.082351920885918,5.18819419509875,IT
1956-04-01,0,3.7633276046872917,5.4945059064926305,IT
1956-07-01,0,3.531796210442289,4.980080835401313,IT
1956-10-01,0,3.330886920133743,4.365068247646309,IT
1957-01-01,0,3.182389474147144,2.70792761208567,IT
1957-04-01,0,3.028996059257831,0.28409222158056746,IT
1957-07-01,0,2.916218184785707,1.518027612688888,IT
1957-10-01,0,2.8931794095751195,3.517111817541707,IT
1958-01-01,0,2.9428935752120666,3.954802759002818,IT
1958-04-01,0,3.1362071097541335,6.893294834026675,IT
1958-07-01,0,3.3931657339964247,5.88784241192748,IT
1958-10-01,0,3.45022377742036,2.2038583869335326,IT
1959-01-01,0,3.3975252356109764,0.5434807549242748,IT
1959-04-01,0,3.2103303977517355,-1.855115657754658,IT
1959-07-01,0,2.909755331017525,-1.7652139789187227,IT
1959-10-01,0,2.823138958245152,1.5274076857695995,IT
1960-01-01,0,2.8062817120556547,2.7026981338790668,IT
1960-04-01,0,2.7913155118723276,2.7902691541983993,IT
1960-07-01,0,2.8365323627799843,3.1446571629772713,IT
1960-10-01,0,2.797069870513451,1.8584073147674518,IT
1961-01-01,0,2.6516952253763533,2.2807012923568015,IT
1961-04-01,0,2.5302100215031764,3.0648018290290846,IT
1961-07-01,0,2.424934035434547,2.8745611140287286,IT
1961-10-01,0,2.389130689154729,3.6490013220499495,IT
1962-01-01,0,2.459566759732249,4.116649023636065,IT
1962-04-01,1,2.700247027666242,5.0976975802604185,IT
1962-07-01,1,2.895302240973181,5.4191318788276766,IT
1962-10-01,1,3.0044424556852496,5.699916111783088,IT
1963-01-01,1,3.2062073087460106,7.990099820218033,IT
1963-04-01,1,3.2334108426357417,7.437365511821303,IT
1963-07-01,1,3.296448827995075,7.148602119114145,IT
1963-10-01,1,3.574836199123832,7.771605809508664,IT
1964-01-01,1,3.8146338685018506,5.339434142484656,IT
1964-04-01,1,4.174507462627521,5.3423562247587375,IT
1964-07-01,1,4.596351003818723,6.671656844905316,IT
1964-10-01,1,4.8290314409247825,6.181016427890795,IT
1965-01-01,1,4.972680532382946,5.575679963042335,IT
1965-04-01,1,5.0795954342867935,4.928567192275346,IT
1965-07-01,1,5.119129773908543,3.9353439554122627,IT
1965-10-01,0,5.168274447504361,2.841300786683809,IT
1966-01-01,0,5.177696415311644,2.4691406485024547,IT
1966-04-01,0,5.136777511093738,2.246423744670989,IT
1966-07-01,0,5.074185099398506,1.6227128801240776,IT
1966-10-01,0,4.982705489353608,1.8194091211519936,IT
1967-01-01,0,4.861835487248594,1.6992489815357725,IT
1967-04-01,0,4.698414957924063,1.8292869937698075,IT
1967-07-01,0,4.5490976924654225,2.4327865696548656,IT
1967-10-01,0,4.37865515675462,2.291065397567027,IT
1968-01-01,0,4.078752106246716,1.9920388100599595,IT
1968-04-01,0,3.786039286597579,1.583109118838566,IT
1968-07-01,0,3.4646514292457544,0.72084497207765,IT
1968-10-01,0,3.111971926616687,0.7180157569273149,IT
1969-01-01,0,2.9068489046724664,1.2369737036002526,IT
1969-04-01,0,2.743627319670745,2.077924524724306,IT
1969-07-01,0,2.579204914380672,3.383208739103849,IT
1969-10-01,0,2.4678212471439465,3.953343083156291,IT
1970-01-01,1,2.430194744689429,4.823149913951985,IT
1970-04-01,1,2.4382193090264295,5.0890584790153515,IT
1970-07-01,1,2.477449831874531,4.719954412374294,IT
1970-10-01,1,2.603464533761467,5.361594824422533,IT
1971-01-01,1,2.73154132031983,5.0306763796697185,IT
1971-04-01,1,2.8552978169911123,4.721553678096635,IT
1971-07-01,1,3.0205561901517206,4.927880343336244,IT
1971-10-01,1,3.1692305998284276,4.792897314686129,IT
1972-01-01,1,3.3208337393142693,4.731311771252611,IT
1972-04-01,1,3.48081432004088,5.028898608302024,IT
1972-07-01,1,3.6569986670530183,5.956473509897631,IT
1972-10-01,1,3.903823307147807,7.227558199462791,IT
1973-01-01,1,4.244823354738651,8.812039761876855,IT
1973-04-01,1,4.718777445617778,11.06219093642109,IT
1973-07-01,1,5.261113671307367,11.567569485869434,IT
1973-10-01,1,5.807098041200456,11.637703154789092,IT
1974-01-01,1,6.470518555312525,14.505383985841625,IT
1974-04-01,1,7.18674124363808,16.402378291235408,IT
1974-07-01,1,8.049557417929567,20.6395322249336,IT
1974-10-01,1,9.08538089322777,24.669812589120333,IT
1975-01-01,1,9.967768604933806,22.47090414807269,IT
1975-04-01,1,10.69884144976945,19.710515375728278,IT
1975-07-01,1,11.21585577846842,15.060240986353657,IT
1975-10-01,1,11.526663659551508,11.577752446084322,IT
1976-01-01,1,11.88733736439438,12.244150476527139,IT
1976-04-01,1,12.456736322550903,16.109532841227093,IT
